ts,eventId,Transform
2024-10-23T14:07:43.8530438Z,0,"{""position"":{""x"":61.64423,""y"":21.42,""z"":28.4490662},""rotation"":{""x"":0.0,""y"":-8.940697E-08,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-23T14:07:47.1036450Z,1,"{""position"":{""x"":61.5875053,""y"":21.42,""z"":28.4676037},""rotation"":{""x"":0.0,""y"":-0.382683516,""z"":0.0,""w"":0.9238795},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-23T14:08:04.1167885Z,2,"{""position"":{""x"":66.98399,""y"":24.413002,""z"":28.1230011},""rotation"":{""x"":0.0,""y"":-0.990358353,""z"":0.0,""w"":0.138529092},""localScale"":{""x"":2.0,""y"":2.0,""z"":2.0}}"
2024-10-23T14:08:06.5724156Z,2,"{""position"":{""x"":68.73999,""y"":24.989,""z"":27.44},""rotation"":{""x"":0.0,""y"":-0.9400152,""z"":0.0,""w"":0.3411326},""localScale"":{""x"":2.0,""y"":2.0,""z"":2.0}}"
2024-10-23T14:08:08.0827093Z,2,"{""position"":{""x"":69.412,""y"":26.653,""z"":25.366},""rotation"":{""x"":0.0,""y"":-0.7543295,""z"":0.0,""w"":0.656496048},""localScale"":{""x"":1.5,""y"":1.5,""z"":1.5}}"
